feature	Candida	Cryptococcus	Filamentous
biotype	0.000000	0.000000	0.000000
exon_count	0.339294	3.957622	2.227333
exon_density	0.482496	3.142159	1.705174
has_cds	0.222224	0.222657	0.267271
is_multi_exon	0.027882	0.282045	0.295618
log_cds_length	6.793860	3.761460	3.886137
log_exon_length	2.953740	6.009043	6.254002
log_intron_length	1.376219	12.508612	9.760860
relative_gene_length	0.194990	0.694028	0.669542
reserved_0	0.000000	0.000000	0.000000
reserved_1	0.000000	0.000000	0.000000
reserved_2	0.000000	0.000000	0.000000
reserved_3	0.000000	0.000000	0.000000
reserved_4	0.000000	0.000000	0.000000
reserved_5	0.000000	0.000000	0.000000
reserved_6	0.000000	0.000000	0.000000
reserved_7	0.000000	0.000000	0.000000
